"week","IDPH_After_Removing_20","Commercial_Data_percent_pos","IDPH_percent_pos"
2022-06-04,8.63,24.16,7.77
2022-06-11,7.97,23.26,7.75
2022-06-18,8.45,23.61,8.51
2022-06-25,8.51,24.3,8.47
2022-07-02,9.24,27.39,9.53
2022-07-09,9.53,28.72,9.96
2022-07-16,8.77,26.24,9.12
2022-07-23,9.61,28.29,9.98
2022-07-30,8.33,25.87,8.96
2022-08-06,8.72,27.49,9.29
2022-08-13,8.01,28.02,8.48
2022-08-20,7.48,24.6,7.85
2022-08-27,6.88,24.02,7.05
2022-09-03,6.49,21.19,6.26
2022-09-10,6.19,19.77,5.45
2022-09-17,5.17,17.52,4.22
2022-09-24,4.59,14.26,3.44
2022-10-01,4.25,12.92,3.13
2022-10-08,4.31,11.24,3.12
2022-10-15,4.95,13.56,3.72
2022-10-22,5.34,13.4,3.91
2022-10-29,6.59,13.69,4.67
2022-11-05,6.67,13.01,4.72
2022-11-12,6.34,13.67,4.64
2022-11-19,6.26,15.19,4.32
2022-11-26,8.56,16.62,6.74
2022-12-03,9.75,18.8,7.03
2022-12-10,9.35,18.01,6.87
2022-12-17,9.24,20.11,7.16
2022-12-24,9.34,24.26,7.59
2022-12-31,9.74,25.61,9.59
2023-01-07,8.34,16.88,8.05
2023-01-14,6.88,14.46,5.21
2023-01-21,6.3,11.54,5.01
2023-01-28,5.69,13.18,4.63
2023-02-04,5.23,13.33,4.43
2023-02-11,5.77,14.65,4.74
2023-02-18,6.4,13.73,5.03
2023-02-25,6.71,13.26,4.76
2023-03-04,6.14,15.87,4.19
